column_type,vrai_positif,faux_positif,vrai_negatif,faux_negatif,precision,rappel
booleen,75,71,2713,137,0.5136986301369864,0.35377358490566035
code_commune_insee,2,23,2905,66,0.08,0.029411764705882353
code_departement,78,2,2882,34,0.975,0.6964285714285714
code_postal,56,38,2891,11,0.5957446808510638,0.835820895522388
code_region,60,0,2889,47,1.0,0.5607476635514018
commune,99,30,2654,213,0.7674418604651163,0.3173076923076923
date,251,34,2659,52,0.8807017543859649,0.8283828382838284
longitude_l93,6,4,2977,9,0.6,0.4
sexe,13,10,2973,0,0.5652173913043478,1.0
siret,6,1,2809,180,0.8571428571428571,0.03225806451612903
year,12,14,2970,0,0.46153846153846156,1.0
