column_type,vrai_positif,faux_positif,vrai_negatif,faux_negatif,precision,rappel
adresse,59,43,7752,29,0.5784313725490197,0.6704545454545454
booleen,158,33,7196,496,0.8272251308900523,0.2415902140672783
code_commune_insee,64,8,7758,53,0.8888888888888888,0.5470085470085471
code_departement,130,3,7428,322,0.9774436090225563,0.28761061946902655
code_postal,95,73,7714,1,0.5654761904761905,0.9895833333333334
code_region,63,66,7732,22,0.4883720930232558,0.7411764705882353
commune,98,39,7622,124,0.7153284671532847,0.44144144144144143
date,239,54,7565,25,0.8156996587030717,0.9053030303030303
date_fr,1,0,7882,0,1.0,1.0
departement,49,7,7702,125,0.875,0.28160919540229884
email,14,14,7855,0,0.5,1.0
insee_ape700,2,5,7752,124,0.2857142857142857,0.015873015873015872
iso_country_code,6,13,7860,4,0.3157894736842105,0.6
jour_de_la_semaine,3,0,7880,0,1.0,1.0
latitude_l93,10,2,7871,0,0.8333333333333334,1.0
latitude_wgs,226,708,6375,574,0.24197002141327623,0.2825
latlon_wgs,20,0,7862,1,1.0,0.9523809523809523
longitude_l93,10,6,6673,1194,0.625,0.008305647840531562
longitude_wgs,226,715,6181,761,0.24017003188097769,0.22897669706180346
pays,1,1,7881,0,0.5,1.0
region,11,7,7741,124,0.6111111111111112,0.08148148148148149
sexe,8,14,7856,5,0.36363636363636365,0.6153846153846154
siret,5,4,7874,0,0.5555555555555556,1.0
tel_fr,59,17,7713,94,0.7763157894736842,0.38562091503267976
uai,2,2,7878,1,0.5,0.6666666666666666
url,79,32,7772,0,0.7117117117117117,1.0
year,15,12,7856,0,0.5555555555555556,1.0
